,Date,Mean Temp (C),Max Temp (C),Min Temp (C),R. Humidity (%),Wind Speed (m/s),S. Pressure (kPa),Net Radiation (MJ/m^2/day),ET0 (mm/day)
0,01-01-1985,19.35,28.92,11.85,25.38,2.39,96.66,3.06,4.38
1,02-01-1985,18.2,27.43,10.2,25.31,2.06,96.92,3.36,3.87
2,03-01-1985,18.77,28.13,10.14,28.25,2.17,96.98,5.06,4.29
3,04-01-1985,21.37,31.23,12.73,32.94,2.94,96.79,6.63,5.59
4,05-01-1985,20.34,29.41,12.38,21.38,2.23,96.68,5.21,4.88
5,06-01-1985,19.23,27.97,12.47,30.5,1.84,96.7,4.31,3.72
6,07-01-1985,19.14,28.67,10.91,37.5,2.33,96.69,4.05,3.88
7,08-01-1985,19.58,28.64,13.55,32.62,1.89,96.79,3.76,3.67
8,09-01-1985,20.12,29.66,11.4,30.88,1.52,96.79,3.92,3.31
9,10-01-1985,21.33,30.53,13.82,25.88,1.74,96.77,6.14,4.44
10,11-01-1985,21.3,29.17,13.6,26.38,1.53,96.7,5.87,3.92
11,12-01-1985,19.73,29.98,10.94,33.81,1.8,96.72,6.95,4.29
12,13-01-1985,19.98,30.06,11.24,31.88,2.45,96.91,6.33,4.94
13,14-01-1985,20.47,30.39,11.33,28.62,2.2,96.84,4.24,4.36
14,15-01-1985,20.9,29.79,13.41,31.94,2.11,96.76,4.59,4.17
15,16-01-1985,20.09,30.17,12.41,20.12,2.7,96.95,2.84,5.17
16,17-01-1985,21.44,30.37,12.74,25.62,1.66,96.97,3.39,3.59
17,18-01-1985,24.41,30.53,17.62,42.12,1.63,96.78,5.74,3.59
18,19-01-1985,21.97,29.87,15.34,29.12,2.98,96.64,6.06,5.62
19,20-01-1985,20.15,29.2,10.87,32.94,1.3,96.61,7.78,3.87
20,21-01-1985,20.59,30.49,11.55,35.31,1.91,96.54,7.18,4.44
21,22-01-1985,20.56,29.7,12.72,39.5,3.58,96.84,5.83,5.35
22,23-01-1985,21.29,30.35,13.15,39.44,2.47,97.01,5.62,4.45
23,24-01-1985,21.9,31.83,13.28,28.75,2.02,96.88,4.35,4.34
24,25-01-1985,21.92,32.55,12.75,21.38,1.84,96.64,4.34,4.49
25,26-01-1985,22.31,32.51,14.81,18.56,2.23,96.42,4.44,5.29
26,27-01-1985,21.25,30.58,13.55,28.06,2.52,96.49,6.38,5.33
27,28-01-1985,21.57,31.1,14.33,12.88,2.32,96.58,7.27,6.19
28,29-01-1985,22.08,32.76,13.13,16.38,2.02,96.61,6.69,5.6
29,30-01-1985,23.1,33.12,13.95,23.25,1.99,96.48,5.48,4.93
30,31-01-1985,23.8,33.39,16.51,31.75,1.98,96.33,5.98,4.76
31,01-02-1985,22.21,31.4,14.37,26.12,2.68,96.49,6.45,5.73
32,02-02-1985,22.15,31.6,13.07,18.75,1.97,96.63,5.62,4.96
33,03-02-1985,22.9,32.69,12.84,16.81,1.29,96.55,4.7,3.82
34,04-02-1985,23.79,34.62,15.06,15.25,2.18,96.26,4.87,5.71
35,05-02-1985,22.99,32.83,14.83,29.0,2.85,96.05,6.13,5.87
36,06-02-1985,22.07,31.69,13.44,24.25,1.55,96.06,5.64,4.18
37,07-02-1985,21.96,32.3,12.42,15.31,1.3,96.17,5.36,4.05
38,08-02-1985,21.27,32.03,12.35,15.75,2.27,96.09,7.46,6.08
39,09-02-1985,21.36,32.18,12.1,15.69,1.65,96.08,7.54,5.18
40,10-02-1985,21.12,32.17,12.19,14.31,2.09,96.15,7.54,5.94
41,11-02-1985,20.65,31.37,12.08,9.44,2.77,96.31,7.29,7.01
42,12-02-1985,19.9,30.91,11.48,6.06,2.52,96.42,4.91,6.26
43,13-02-1985,20.38,31.51,10.52,7.38,2.22,96.3,5.04,5.75
44,14-02-1985,20.93,32.19,11.76,7.38,2.73,96.25,6.11,6.94
45,15-02-1985,20.47,31.49,11.55,7.12,2.47,96.32,6.14,6.46
46,16-02-1985,21.01,32.78,10.69,7.31,1.73,96.29,6.56,5.47
47,17-02-1985,22.83,34.0,10.83,8.0,1.52,96.38,6.72,5.13
48,18-02-1985,24.01,34.95,14.54,10.81,1.48,96.33,7.08,5.26
49,19-02-1985,24.23,34.58,14.83,25.5,2.85,96.28,10.31,7.29
50,20-02-1985,22.49,32.65,15.55,15.5,3.03,96.5,8.52,7.61
51,21-02-1985,20.58,32.43,11.52,9.38,2.93,96.64,7.67,7.55
52,22-02-1985,22.17,33.9,11.93,8.12,1.88,96.59,6.64,5.87
53,23-02-1985,23.11,35.59,11.87,6.5,1.7,96.47,9.13,6.44
54,24-02-1985,23.86,36.15,13.12,6.75,2.45,96.43,9.18,7.89
55,25-02-1985,24.73,36.46,15.14,8.56,2.21,96.48,7.38,7.01
56,26-02-1985,24.99,37.23,14.69,4.56,1.98,96.42,6.71,6.71
57,27-02-1985,25.63,38.65,14.17,5.56,1.66,96.48,6.65,6.14
58,28-02-1985,25.74,38.3,14.76,8.81,2.85,96.55,9.12,8.82
59,01-03-1985,26.38,37.55,16.5,17.19,3.01,96.47,9.2,8.32
60,02-03-1985,27.62,38.45,18.75,16.88,2.99,96.38,8.45,8.34
61,03-03-1985,27.41,38.87,17.6,13.12,2.44,96.29,7.61,7.51
62,04-03-1985,27.87,39.78,17.25,10.69,2.09,96.48,10.67,7.95
63,05-03-1985,28.87,39.86,17.65,7.19,1.62,96.61,10.44,7.05
64,06-03-1985,27.98,40.29,17.36,9.44,2.66,96.47,7.45,8.35
65,07-03-1985,29.34,40.41,19.38,12.88,2.4,96.38,7.4,7.57
66,08-03-1985,29.4,40.4,19.64,11.38,2.12,96.56,7.93,7.29
67,09-03-1985,29.09,40.31,18.84,11.38,2.12,96.68,9.28,7.64
68,10-03-1985,28.84,39.72,19.65,11.5,2.62,96.56,10.19,8.76
69,11-03-1985,28.88,39.69,18.5,10.0,1.71,96.59,9.66,6.9
70,12-03-1985,29.37,40.23,20.12,10.19,2.48,96.55,8.67,8.26
71,13-03-1985,29.56,40.23,20.61,10.5,2.54,96.46,11.94,9.24
72,14-03-1985,29.12,40.3,19.51,8.38,2.23,96.35,8.41,7.82
73,15-03-1985,29.37,41.05,19.37,6.69,2.11,96.42,8.02,7.69
74,16-03-1985,29.58,40.29,20.11,7.25,1.99,96.37,7.75,7.19
75,17-03-1985,29.77,39.19,21.41,12.25,3.13,96.27,8.91,9.09
76,18-03-1985,28.48,38.22,20.03,10.69,3.23,96.24,8.89,9.2
77,19-03-1985,27.11,37.98,17.77,5.69,2.63,96.34,10.43,8.91
78,20-03-1985,27.58,38.66,16.18,5.56,1.69,96.39,10.22,7.05
79,21-03-1985,27.78,36.89,19.05,7.56,1.22,96.43,10.17,5.89
80,22-03-1985,29.3,38.37,22.16,11.38,1.41,96.34,8.78,5.96
81,23-03-1985,29.66,39.7,20.65,16.88,2.77,96.05,10.35,8.61
82,24-03-1985,28.93,38.52,20.04,27.25,3.53,96.11,11.26,8.89
83,25-03-1985,29.71,39.21,20.3,27.81,2.87,96.33,11.28,8.1
84,26-03-1985,30.84,40.1,21.82,19.5,2.57,96.34,11.14,8.35
85,27-03-1985,30.72,40.07,22.09,19.38,3.43,96.22,14.38,10.54
86,28-03-1985,31.47,40.55,23.78,19.38,3.37,96.12,11.16,9.77
87,29-03-1985,31.98,40.7,22.76,20.19,2.69,96.11,8.4,7.76
88,30-03-1985,32.55,40.11,25.7,21.62,2.04,96.18,9.71,7.05
89,31-03-1985,28.08,34.17,23.71,36.5,3.17,96.36,11.52,7.45
90,01-04-1985,29.63,37.77,21.65,39.5,2.35,96.53,13.73,7.27
91,02-04-1985,29.72,36.0,24.65,35.12,1.75,96.46,14.51,7.01
92,03-04-1985,29.24,37.83,20.3,27.44,2.52,96.28,13.45,8.06
93,04-04-1985,28.94,37.71,20.03,29.5,2.74,96.22,13.62,8.23
94,05-04-1985,29.22,38.45,20.01,28.94,2.49,96.24,13.43,8.01
95,06-04-1985,30.5,38.74,21.42,28.0,2.81,96.25,13.1,8.4
96,07-04-1985,31.65,39.71,23.26,28.81,3.57,96.02,13.68,9.62
97,08-04-1985,31.01,39.15,23.3,29.69,4.39,95.86,13.62,10.39
98,09-04-1985,30.78,39.46,21.99,39.06,4.31,95.87,13.92,9.43
99,10-04-1985,30.78,39.89,23.83,30.69,4.2,96.04,11.6,9.88
100,11-04-1985,30.56,40.69,20.07,16.06,2.62,95.99,10.72,8.56
101,12-04-1985,31.23,41.18,21.37,18.75,3.22,95.95,10.84,9.46
102,13-04-1985,30.76,39.73,22.31,22.94,4.23,95.84,11.98,10.54
103,14-04-1985,29.76,38.91,20.68,21.62,3.68,95.94,11.18,9.55
104,15-04-1985,29.7,39.62,19.65,15.06,2.78,96.12,10.82,8.77
105,16-04-1985,30.42,40.65,20.02,13.5,2.51,96.3,14.0,9.47
106,17-04-1985,31.41,41.16,22.14,12.88,2.9,96.17,14.23,10.38
107,18-04-1985,31.83,41.88,21.76,14.69,3.41,96.02,14.05,11.07
108,19-04-1985,32.19,41.71,22.45,15.75,3.52,96.03,12.93,10.8
109,20-04-1985,34.27,43.72,24.56,13.19,3.63,96.23,12.61,11.52
110,21-04-1985,34.97,43.79,25.84,15.62,4.09,96.32,12.48,12.0
111,22-04-1985,35.4,43.73,27.0,16.88,3.84,96.06,12.1,11.41
112,23-04-1985,34.58,42.53,26.48,16.19,3.81,95.86,11.2,10.94
113,24-04-1985,33.41,41.7,26.34,16.81,3.85,95.86,12.41,11.28
114,25-04-1985,31.9,41.13,23.04,21.12,4.09,96.02,13.86,11.31
115,26-04-1985,32.92,42.43,23.43,19.62,3.69,96.14,14.42,11.28
116,27-04-1985,33.47,42.56,23.75,21.0,3.91,96.05,14.27,11.38
117,28-04-1985,33.33,42.58,24.22,20.25,4.12,96.05,13.55,11.64
118,29-04-1985,33.46,42.81,24.61,16.56,3.85,95.97,11.42,11.13
119,30-04-1985,32.59,42.72,22.58,18.56,4.92,95.83,12.54,12.63
120,01-05-1985,31.48,40.8,22.08,31.38,5.41,95.7,14.55,11.68
121,02-05-1985,30.64,39.01,22.06,39.06,4.59,95.83,13.57,9.51
122,03-05-1985,30.51,38.19,22.62,37.31,4.52,95.97,13.79,9.56
123,04-05-1985,31.27,39.63,22.32,34.75,4.36,95.92,13.85,9.89
124,05-05-1985,32.48,41.4,23.06,30.0,4.17,95.93,15.04,10.81
125,06-05-1985,33.89,42.77,24.07,27.69,4.22,96.07,14.75,11.26
126,07-05-1985,35.71,44.34,25.59,18.25,3.71,96.16,11.28,10.78
127,08-05-1985,37.16,45.45,28.58,14.44,3.84,96.07,10.08,11.38
128,09-05-1985,37.19,45.19,29.25,13.88,4.04,96.02,13.91,12.86
129,10-05-1985,36.79,44.48,28.48,18.19,3.64,96.01,11.94,11.01
130,11-05-1985,35.87,44.01,27.18,18.88,3.85,95.96,11.69,11.11
131,12-05-1985,36.16,44.59,27.14,19.12,3.87,95.88,10.83,10.97
132,13-05-1985,35.98,44.42,26.11,25.56,4.41,95.79,11.97,11.25
133,14-05-1985,35.82,43.83,27.63,23.62,4.79,95.72,13.34,12.39
134,15-05-1985,35.53,44.08,26.19,22.5,4.38,95.76,15.74,12.57
135,16-05-1985,34.91,43.51,26.17,20.62,3.72,95.94,14.88,11.58
136,17-05-1985,36.73,45.39,27.62,13.81,3.88,95.99,12.66,12.2
137,18-05-1985,37.48,45.8,28.01,12.38,4.01,95.95,11.17,12.12
138,19-05-1985,37.61,46.07,29.0,13.69,4.71,95.78,11.25,13.36
139,20-05-1985,36.76,45.51,27.62,19.69,5.27,95.65,12.54,13.62
140,21-05-1985,35.3,44.01,25.82,27.94,4.6,95.49,13.01,11.49
141,22-05-1985,35.71,44.06,26.24,29.06,4.43,95.52,13.09,11.16
142,23-05-1985,35.9,44.33,26.55,29.94,5.56,95.43,14.52,12.81
143,24-05-1985,35.44,43.8,26.66,34.44,6.16,95.32,16.21,13.18
144,25-05-1985,34.76,43.46,26.14,37.69,6.2,95.37,15.57,12.56
145,26-05-1985,34.15,42.2,26.23,39.81,5.51,95.52,15.47,11.42
146,27-05-1985,33.76,41.85,25.92,35.0,4.8,95.53,13.95,10.88
147,28-05-1985,33.8,41.3,24.99,34.44,4.53,95.47,13.97,10.41
148,29-05-1985,34.58,41.07,26.83,36.0,3.74,95.55,13.72,9.42
149,30-05-1985,33.79,38.6,28.21,42.62,3.22,95.68,15.35,8.62
150,31-05-1985,33.2,38.47,27.94,44.56,4.51,95.77,15.94,9.69
151,01-06-1985,33.39,40.18,26.58,42.75,5.35,95.67,14.05,10.23
152,02-06-1985,33.08,39.84,25.97,45.06,5.37,95.63,13.1,9.63
153,03-06-1985,33.26,40.03,25.49,42.88,4.88,95.64,14.94,9.93
154,04-06-1985,33.6,39.85,26.64,43.25,3.88,95.67,14.47,8.99
155,05-06-1985,34.79,40.83,26.87,38.56,4.02,95.69,12.96,9.19
156,06-06-1985,35.21,42.08,27.52,36.62,4.64,95.68,14.28,10.63
157,07-06-1985,32.87,38.44,27.37,44.5,5.24,95.78,14.6,9.86
158,08-06-1985,32.37,38.28,26.19,46.38,5.36,95.74,14.14,9.51
159,09-06-1985,32.4,39.51,25.98,49.0,6.7,95.83,13.98,10.24
160,10-06-1985,32.29,39.95,25.73,48.88,6.69,95.76,14.04,10.36
161,11-06-1985,33.17,41.1,25.51,45.38,5.33,95.62,14.98,10.26
162,12-06-1985,34.19,41.74,25.63,42.25,4.1,95.64,15.49,9.75
163,13-06-1985,35.01,42.61,26.44,38.69,5.04,95.65,14.39,10.85
164,14-06-1985,34.72,42.62,26.87,39.75,5.75,95.58,14.55,11.5
165,15-06-1985,33.37,41.0,26.38,44.56,6.48,95.53,15.04,11.25
166,16-06-1985,33.34,41.4,25.37,46.12,5.77,95.41,15.19,10.57
167,17-06-1985,33.12,40.87,26.29,46.38,5.91,95.36,14.25,10.41
168,18-06-1985,32.4,39.99,25.64,46.44,6.6,95.42,14.37,10.69
169,19-06-1985,32.19,39.76,25.62,46.88,6.34,95.52,14.44,10.46
170,20-06-1985,31.78,39.11,25.19,47.75,5.62,95.63,13.58,9.53
171,21-06-1985,32.92,39.94,25.48,45.44,4.47,95.64,13.17,8.91
172,22-06-1985,33.11,39.83,25.74,45.38,4.83,95.54,14.04,9.39
173,23-06-1985,33.85,40.54,26.3,44.06,4.18,95.36,13.28,8.91
174,24-06-1985,34.7,41.88,27.62,40.62,5.53,95.15,12.45,10.55
175,25-06-1985,34.84,43.29,27.33,39.69,5.2,95.23,10.85,10.27
176,26-06-1985,33.08,40.33,26.48,47.69,5.68,95.42,8.04,8.46
177,27-06-1985,30.21,35.6,26.4,59.69,5.45,95.44,10.73,7.01
178,28-06-1985,28.65,32.98,25.11,64.38,4.93,95.52,14.16,6.75
179,29-06-1985,30.73,38.25,24.55,56.62,5.38,95.49,12.61,7.99
180,30-06-1985,31.04,38.17,25.05,54.19,5.48,95.62,13.29,8.49
181,01-07-1985,31.4,38.63,25.01,51.62,5.35,95.76,14.77,9.12
182,02-07-1985,31.58,38.4,25.1,49.62,4.91,95.73,14.86,9.03
183,03-07-1985,31.87,38.58,25.12,49.25,4.41,95.66,14.57,8.67
184,04-07-1985,31.69,37.49,25.15,49.38,4.41,95.69,13.76,8.28
185,05-07-1985,31.64,38.42,24.95,50.44,4.77,95.54,9.53,7.5
186,06-07-1985,29.64,34.65,25.22,58.44,4.08,95.58,10.4,6.17
187,07-07-1985,30.8,37.51,25.01,54.19,4.53,95.59,10.57,7.17
188,08-07-1985,30.88,37.01,25.03,55.5,5.06,95.53,10.34,7.2
189,09-07-1985,30.8,37.47,25.37,54.81,6.52,95.45,12.87,8.77
190,10-07-1985,31.34,38.74,24.48,51.56,5.49,95.43,15.59,9.37
191,11-07-1985,31.57,38.51,24.91,49.69,4.81,95.54,13.22,8.55
192,12-07-1985,28.95,32.73,25.61,58.62,4.09,95.7,12.83,6.61
193,13-07-1985,27.94,31.37,24.71,61.5,4.42,95.61,11.08,5.91
194,14-07-1985,27.54,31.58,24.47,67.56,4.12,95.64,12.75,5.71
195,15-07-1985,27.18,32.01,23.8,71.44,4.13,95.76,10.4,4.84
196,16-07-1985,26.24,30.59,23.62,73.19,4.32,95.73,9.57,4.45
197,17-07-1985,25.23,27.63,23.37,80.75,4.44,95.67,7.34,3.17
198,18-07-1985,25.84,30.19,22.66,83.69,3.92,95.67,11.62,3.95
199,19-07-1985,26.36,31.17,22.89,80.62,3.6,95.78,12.65,4.46
200,20-07-1985,26.46,31.66,22.7,77.94,3.4,95.93,14.23,5.03
201,21-07-1985,26.51,31.17,22.91,78.69,3.18,95.93,11.87,4.35
202,22-07-1985,27.03,32.43,23.09,77.25,2.34,95.89,13.53,4.78
203,23-07-1985,26.73,30.82,23.57,81.5,2.48,95.88,12.94,4.36
204,24-07-1985,25.8,29.41,23.15,85.69,2.73,95.81,13.24,4.14
